Order,Date,Transect,UniqueID,tag #,Sun.Shade,Excluded.QC,Excluded.Branch.Length,Diam.Length,Branch #,Branch Diameter,Y1/Y2,Y2,Y3,Y,YM,M1,M2,M,M3,M/O,O1,O2,O,Notes,Branch was 1 meter,Excluded for ESA Talk,order of entry
13,08.27.2012,,TR500_,TR500_,sun,,,17.4mm @ 1 m Branch,TR500_0827_SU,,7,0,78,2,10,0,0,1,0,31,0,0,0,,,,
14,08.27.2012,,TR500_,TR500_,sun,,,16.7 @ 1m Branch,TR500_0827_SU2,,0,0,0,0,5,0,0,57,0,0,29,0,0,,,,
15,08.27.2012,,TR502_,TR502_,MC,,,11mm @ 0.9 m Branch,TR502_0827,,0,0,60,0,10,0,0,0,0,36,0,0,0,,,,
16,08.28.2012,,TR590_,TR590_,shade,,,17.2 mm @ 1 m Branch,TR590_0828_SH,,20,15,35,11,0,57,96,0,0,0,0,0,36,,,,
17,08.28.2012,,TR590_,TR590_,sun,,,22.3 mm @ 1m Branch,TR590_0828_SUN,,0,23,22,5,0,211,134,0,0,0,0,0,134,,,,
18,08.28.2012,,TR_TLT6,TR_TLT6,,,,13.75 mm @ 1m Branch,TR_TLT6_0828,,30,18,31,0,3,34,63,5,0,0,0,0,75,,,,
19,08.29.2012,,US1_TR14,US1_TR14,US,,,6.35 mm @ 1m Branch ,US1_TR14_0829,,0,0,0,0,5,0,2,0,0,1,0,0,55,,,,
20,08.29.2012,,TR14_,TR14_,sun,,,15.3mm @ 1m Branch,TR14_0829_Sun,,0,0,0,0,0,0,0,109,0,0,0,0,0,,,,
21,08.29.2012,,TR14_,TR14_,shade,,,13 mm @ 1 m Branch,TR14_0829_Sh,,0,0,0,0,0,0,0,93,0,0,0,0,0,,,,
22,08.29.2012,,MC1_TR14,MC1_TR14,lo,,,9.65 mm @ 1m branch,MC1_TR14_0829_Low,,47,71,0,0,5,0,0,11,0,0,0,0,211,,,,
23,08.29.2012,,MC1_TR14,MC1_TR14,hi,,,14.1 mm @1 m Branch,MC1_TR14_0829_High,,0,0,0,0,14,0,0,379,0,0,0,0,262,,,,
24,08.29.2012,,TR9_,TR9_,sun,,,less than 1 m,TR9_0829_SUN_Sub1,,17,42,8,0,0,0,0,7,0,0,0,0,124,,,,
25,08.29.2012,,TR9_,TR9_,sun,,,N/A,TR9_0829_SUN_Sub2,,52,22,16,0,0,0,0,5,0,0,0,0,123,,,,
26,08.30.2012,,TR118_,TR118_,sun,,,17mm @ 1m Branch,TR118_0830,,20,4,7,0,2,0,0,20,0,0,0,0,205,,,,
27,09.03.2012,,JW_US1,JW_US1,,,,11.9 mm @ 1 m Branch,JW_US1_0903,,0,0,0,0,6,0,0,4,0,0,11,4,0,,,,
28,09.03.2012,,JW_US5,JW_US5,,,,10.3 mm @ 1m Branch,JW_US5_0903,,0,0,0,0,0,0,0,173,0,0,0,0,0,,,,
29,09.04.2012,,Tr591_,Tr591_,MC,,,11.5 m @ 1 m Branch,Tr591_0904,,4,0,0,77,0,0,0,273,0,0,0,0,412,,,,
30,09.04.2012,,TR11_,TR11_,sun,,,18.9 mm @ 1 m Branch,TR11_0904_SU,,154,186,67,0,0,0,0,665,0,0,0,0,325,,,,
31,09.04.2012,,TR11_,TR11_,shade,,,9.2 mm @ 1 m branch ,TR11_0904_SH,,0,10,0,0,36,0,0,0,0,0,0,0,194,,,,
32,09.04.2012,,TR11_,TR11_,sun,,,N/A,TR11_0904_SU,,63,104,172,0,0,0,0,306,0,0,0,0,103,,,,
33,09.05.2012,,TR13_,TR13_,sun,,,15.8 mm @ 0.8 m,TR13_0905_SU,,0,0,0,1,99,0,0,0,0,0,0,0,72,,,,
34,09.05.2012,,TR13_,TR13_,shade,,,"14.7 mm @ 0.8 m, 17.5@1m",TR13_0905_SH,,0,0,0,11,76,0,0,0,0,0,0,0,125,,,,
35,09.05.2012,,TR590_,TR590_,MC,,,15.8 mm @ 1m Branch,TR590_0905,,0,0,0,498,0,0,0,0,0,0,0,0,64,,,,
36,09.06.2012,,TR588_,TR588_,shade,,,7.8mm @ 1m Branch,TR588_0906_SH,,0,0,0,0,195,0,0,15,0,0,0,0,133,,,,
37,09.06.2012,,TR588_,TR588_,sun,,,13.8 mm @ 1 m Branch,TR588_0906_SU,,12,12,0,67,323,0,0,10,0,0,0,0,155,,,,
38,09.06.2012,,TR14_,TR14_,shade,,,0,TR14_0906_SH,,0,0,0,0,0,0,0,141,0,0,0,0,0,,,,
39,09.06.2012,,TR14_,TR14_,sun,,,0,TR14_0906_SU,,0,0,0,0,0,0,0,131,0,0,0,0,0,,,,
40,09.08.2012,,Tr_,Tr_,sun,,,11.6 mm @ 1m Branch,Tr_504_0908_SU,,0,0,0,4,0,0,0,528,0,0,0,0,14,,,,
41,09.08.2012,,TR_,TR_,shade,,,8.5 mm @ 1 m Branch,TR_504_0908_SH,,0,0,0,46,0,0,0,312,0,0,0,0,46,,,,
42,09.08.2012,,MC1_TR504,MC1_TR504,MC,,,0,MC1_TR504_0908,,1,4,14,0,0,0,0,45,0,0,0,0,38,,,,
43,09.08.2012,,US2_TR504,US2_TR504,US,,,11.5 mm @ 1 m Branch,US2_TR504_0908,,0,0,0,21,0,0,0,52,0,0,0,0,59,,,,
44,09.11.2012,,TR9_,TR9_,sun,,,21 mm @ 1 m Branch ,TR9_0911_SU,,36,31,33,0,0,0,0,101,0,0,126,80,0,,,,
45,09.14.2012,,TR2_,TR2_,sun,,,16 mm @ 1 m,TR2_0914_SU,,42,0,0,71,0,0,0,135,0,0,0,0,106,,,,
46,09.14.2012,,TR2_,TR2_,shade,,,N/A?,TR2_0914_SH,,47,0,0,51,0,0,0,86,0,0,0,0,257,,,,
47,09.18.2012,,TR145_,TR145_,sun,,,16.9 mm @ 1m Branch,TR145_0918_SU,,0,0,0,0,0,0,0,1043,0,0,0,0,0,,,,
48,09.18.2012,,TR145_,TR145_,shade,,,13 mm @ 1 M branch,TR145_0918_SH,,0,0,0,0,0,0,0,756,0,0,0,0,0,,,,
49,09.18.2012,,TR500_,TR500_,shade,,,13.5 mm @ 1m Branch,TR500_0918_SH,,0,0,0,0,0,0,0,24,0,0,0,0,33,,,,
50,09.20.2012,,TR610_,TR610_,shade,,,13.3 mm @ 1m branch,TR610_0920_SH,,0,0,0,90,1,0,0,147,0,0,0,0,168,,,,
51,09.20.2012,,TR610-09-20-SUN_,TR610-09-20-SUN_,sun,,,18.6 mm @ 1m Branch,TR610-09-20-SUN,,0,0,0,141,0,0,0,858,0,0,0,0,181,,,,
52,09.21.2012,,TR122_,TR122_,shade,,,13.6 mm @ 1m branch,TR122_0921_SH,,0,0,0,0,0,0,0,139,0,0,0,0,27,,,,
53,09.24.2012,,TR30_,TR30_,shade,,,18.3 mm @ 1m Branch,TR30_0924_SH,,0,0,0,43,0,0,0,130,0,0,0,0,0,,,,
54,09.25.2012,,TR11_,TR11_,sun,,,19.0 mm @ 1m Branch,TR11_0925_SU,,0,0,0,4,310,0,0,0,0,868,0,0,45,,,,
55,09.27.2012,,TR11_,TR11_,shade,,,11.6 mm @ 1m Branch,TR11_0927_SH,,0,0,0,0,97,0,0,0,0,186,0,0,26,,,,
56,10.02.2012,,TR118_,TR118_,shade,,,0,TR118_Mid_Day_Water Potenital,,0,0,0,2,0,0,0,6,0,0,0,0,5,,,,
57,10.02.2012,,TR33_,TR33_,,,,0,TR33_Mid_day_WP,,0,0,0,1,0,0,0,1,0,0,0,0,1,,,,
58,10.08.2012,,TR118_,TR118_,sun,,,0,TR118_1008_SU,,0,0,0,0,0,0,0,308,0,0,0,0,124,,,,
59,10.08.2012,,TR117_,TR117_,lo,,,0,TR117_1008_LO,,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,
60,10.08.2012,,TR117_,TR117_,hi,,,0,TR117_1008_Hi,,14,21,15,0,9,0,0,1,0,0,35,0,0,,,,
61,10.10.2012,,TR9_,TR9_,shade,,,13.6 mm @ 1 m branch,TR9_1010_SH,,12,2,4,2,8,0,0,29,0,0,0,0,86,,,,
62,10.11.2012,,TR9_,TR9_,shade,,,13.5 mm @ 1m Branch,TR9_1011_SH,,0,0,0,4,13,0,0,60,0,0,0,0,59,,,,
63,10.11.2012,,TRUS1_TR9,TRUS1_TR9,US,,,13.3 mm @ 1m Branch,TRUS1_TR9_1011,,0,0,0,0,0,0,0,35,0,7,33,18,5,,,,
64,10.11.2012,,TR10_,TR10_,lo,,,10.4 mm @ 1m Branch,TR10_1011_LO,,0,0,0,7,0,0,0,812,0,0,0,0,255,,,,
65,10.11.2012,,TR10_,TR10_,hi,,,7.0mm @ 1m branch,TR10_1011_Hi,,0,0,0,0,0,0,0,443,0,0,0,0,208,,,,
66,10.17.2012,,TRUS1_TR118,TRUS1_TR118,US,,,7.3 mm @ 1 m branch,US1_TR118_1017,,0,0,0,180,0,0,0,60,0,0,0,0,28,,,,
67,10.17.2012,,TRUS2_TR118,TRUS2_TR118,US,,,11.7 mm @ 1m Branch,US2_TR118_1017,,0,0,0,33,0,0,0,23,0,0,0,0,5,,,,
68,10.17.2012,,TR9_,TR9_,sun,,,16.5 mm @ 0.8m Branch,TR9_1017_SU,,26,29,31,0,28,0,0,217,0,0,0,0,53,,,,
69,10.17.2012,,TR9_,TR9_,sun,,,16.3 mm @ 1m branch,TR9_1017_Su2,,23,25,17,0,26,0,0,110,0,0,0,0,112,,,,
70,10.18.2012,,TR500_,TR500_,shade,,,13.7 mm@ 1m branch,TR500_1018_SH,,0,0,0,0,0,0,0,22,0,0,0,0,23,,,,
71,10.18.2012,, TR502_, TR502_,MC,,,12.1 mm @ 1m Branch, TR502_1018_MC,,0,0,0,23,0,0,0,82,0,0,0,0,41,,,,
72,10.18.2012,,TR500_,TR500_,sun,,,18.1-18.5 mm @ 1 m branch,TR500_1018_SU,,0,0,0,0,0,0,0,99,0,0,0,0,22,,,,
73,10.18.2012,,TRUS1_TR500,TRUS1_TR500,US,,,9 mm @ 1m Branch,TRUS1_TR500_1018,,0,0,0,0,0,0,0,64,0,0,0,0,17,,,,
74,10.19.2012,,TR504_,TR504_,sun,,,12.4 mm @ 1 m Branch,TR504_1019_SU2,,0,0,0,9,0,0,0,1150,0,0,0,0,11,,,,
75,10.19.2012,,TR504_,TR504_,shade,,,8.8 mm @ 1 m Branch,TR504_1019_SH1,,0,0,0,51,0,0,0,399.5,0,0,0,0,29,,,,
76,10.19.2012,,tr504_,tr504_,shade,,,9.9 mm @  1m Branch,tr504_1019_sh2,,0,0,0,0,0,0,0,471.5,0,0,0,0,85.5,,,,
77,10.19.2012,,Tr504_,Tr504_,sun,,,11.6 mm @ 1m branch,Tr504_1019_SU1,,0,0,0,0,0,0,0,467,0,0,0,0,19,,,,
78,10.19.2012,,TR14_,TR14_,sun,,,"18.1 mm @ 1 m branch, 45 -65 degree for branch angle",TR14_1019_SU2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
79,10.19.2012,,TR14_,TR14_,shade,,,"12.9 mm @ 1 m Branch, 13.7 mm @ 1.2 m Branch",TR14_1019_SH1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
80,10.19.2012,,TR14_,TR14_,shade,,,15.3 mm @ 1m branch,TR14_1019_SH2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
81,10.19.2012,,TR14_,TR14_,sun,,,22 mm @ 1m branch,TR14_1019_SU1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
82,10.25.2012,,TRSP1_,TRSP1_,,,,9.4 mm @ 1m branch,TRSP1_1025,,0,0,0,0,0,0,0,25,0,0,0,0,11,,,,
83,10.25.2012,,TRUS1_,TRUS1_,US,,,8.5mm @ 1m ,TRUS1_1025,,0,0,0,27,0,0,0,41,0,0,0,0,57,,,,
84,10.25.2012,,TRUS2_,TRUS2_,US,,,7 mm @ 1m Branch,TRUS2_1025,,0,0,0,35,8,0,0,35,0,0,0,0,33,,,,
85,10.26.2012,,US3_,US3_,US,,,12.3 mm @ 1m Branch,US3_1026,,0,0,0,84,0,0,0,49,0,0,0,0,65,,,,
86,10.26.2012,,US1-1026_,US1-1026_,US,,,9.3 mm @ 1m branch,US1-1026,,23,0,0,89,0,0,0,53,0,0,0,0,62,,,,
87,10.26.2012,,US2_,US2_,US,,, DBH @ 1m branch: 7 mm,US2_1026,,0,0,0,0,0,0,0,70,0,0,0,0,53,,,,
88,10.29.2012,,TRUS1_TR11,TRUS1_TR11,US,,,"DBH @ 1m branch:   9.4, 10.3, 10; 10.5, 9.8, 10.6",TRUS1_TR11_1029,,0,0,0,0,0,0,0,43,0,0,0,0,13,,,,
89,10.29.2012,,TR591_,TR591_,MC,,,7.2 mm @ 1 m Branch and 8.2 mm @ 1.2 m branch,TR591_1029,,0,0,0,0,0,0,0,70.3,0,0,0,0,104.9,,,,
90,10.29.2012,,Side branch for TR591_,Side branch for TR591_,,X,,???  Is this 8.2mm from above,Side branch for TR591_1029,,0,0,0,0,0,0,0,0,0,0,0,0,277,,,,
91,10.29.2012,,MC1_TR14,MC1_TR14,MC,,,"DBH @ 1 M branch: 10.5, 10.9, 11.0; 11.3, 12.1, 12.9 mm",MC1_TR14_1029,,0,0,0,118,0,0,0,207,0,0,0,0,20,,,,
92,10.29.2012,,US2_TR14,US2_TR14,US,,,"DBH @ 1 m Branch:19.6, 20.1, 20.4; 18.7, 19.4, 19.0",US2_TR14_1029,,0,0,0,0,3,0,0,272,0,0,0,0,19,,,,
93,10.30.2012,,TRTLT6_TR18,TRTLT6_TR18,,,,13.1 mm @ 1 m branch,TRTLT6_TR18_1030,,0,0,0,23,27,0,0,199,0,0,0,0,48,,,,
94,10.30.2012,,TRUS1_TR18?,TRUS1_TR18?,US,,,"DBH at 1 m: 9.6, 8.8, 9.5, 9, 8.7, 8.5, 9.3",TRUS1_TR18?_1030,,0,0,0,10,8,0,0,204,0,0,158,7,4,,,,
95,11.12.2012,,TR13_,TR13_,sun,,,"sub1, 85 cm, 17.1-18.5 mm @  0.85 m Branch",TR13_1112_SU,,0,0,0,0,0,0,0,328,0,0,0,0,204,,,,
96,11.12.2012,,TR13_,TR13_,sun,,,"27.3, 28.5 @1.12m",TR13_1212_SU_sb1+2+3+Other1+2,,0,0,0,0,0,0,0,263,0,0,148,55,0,,,,
97,11.12.2012,,TR588_,TR588_,,,,branch 1: 7.7 mm @ 1 m branch,TR588_1112,,0,0,0,0,0,0,0,175,0,0,0,0,13,,,,
98,11.12.2012,,TR588_,TR588_,,,,Branch 2: 7.2 mm @ 1m branch,TR588_1112,,0,0,0,0,0,0,0,177,0,0,0,0,12,,,,
99,11.12.2012,,TR588_,TR588_,,,,1.3 m: branch1+Branch 2+Other: 10.9,TR588_1112,,0,0,0,0,0,0,0,688,0,0,0,0,96,,,,
100,11.12.2012,,TR13_,TR13_,shade,,, 1 m Branch: 14.5-15.3 mm,TR13_1112_SH,,0,0,0,0,0,0,0,71,0,0,0,0,53,,,,
101,11.12.2012,,TR13_,TR13_,shade,,,1.3 m Branch: 18.8 -19.9 mm,TR13_1112_SH,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
102,11.13.2012,,TR9_,TR9_,sun,,,"Sub1, 17.5 mm @ 1m Branch",TR9_SU1_1113,,30,13,25,0,58,0,0,375,0,0,0,0,82,,,,
103,11.13.2012,,TR9_,TR9_,sun,,,"Sub , 17.5 mm @ 1m branch",TR9_SU1_1113,,20,5,33,0,40,0,0,341,0,0,0,0,106,,,,
104,11.13.2012,,TR9_,TR9_,sun,,,Sub1+Sub2: 25.8 mm @ 1.2 m,TR9_SU1_1113,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
105,11.13.2012,,TR9_,TR9_,sun,,,21.4 mm-22.5 mm @ 1m branch,TR9_1113_SU2,,68,18,38,0,108,0,0,712,0,0,0,0,237,,,,
106,11.13.2012,,TR9_,TR9_,shade,,,9.2-9.3 mm @ 1m branch,TR9_1113_SH1,,0,0,0,0,6,0,0,42,0,0,0,0,4,,,,
107,11.13.2012,,TR9_,TR9_,shade,,,11.2 mm @ 1.1 m branch,TR9_1113_SH1,,0,0,0,0,5,0,0,11,0,0,0,0,18,,,,
108,11.13.2012,,TR9_,TR9_,shade,,,12.8-13 mm @1m branch,TR9_1113_SH2,,0,0,0,0,12,0,0,54,0,0,0,0,23,,,,
109,11.13.2012,,TR9_,TR9_,shade,,,14 mm @ 1m branch,TR9_1113_SH2,,0,0,0,0,5,0,0,12,0,0,0,0,12,,,,
110,11.13.2012,,TR118_,TR118_,sun,,,Stem 1: 20.9 mm @ 1m branch,TR118_1113_SU2,,0,0,0,0,235,0,0,67,0,0,0,0,0,,,,
111,11.13.2012,,TR118_,TR118_,sun,,,stem 2: 22.0 mm @ 1m branch,TR118_1113_SU2,,0,0,0,0,343,0,0,101,0,0,0,0,0,,,,
112,11.13.2012,,TR118_,TR118_,sun,,,stem 1: 18.7 mm @ 1m branch,TR118_1113_SU1,,0,0,0,0,0,0,0,327,0,0,0,0,109,,,,
113,11.13.2012,,TR118_,TR118_,sun,,,Stem 2: 20.1 mm @ 1 m branch,TR118_1113_SU1,,0,0,0,0,0,0,0,409,0,0,0,0,152,,,,
114,11.13.2012,,TR118_,TR118_,shade,,,21.5 mm @ 1m branch,TR118_1113_SH1,,0,0,0,0,0,0,0,99,0,0,0,0,211,,,,
115,11.13.2012,,TR118_,TR118_,shade,,,17.3 mm - 18.2 mm @ 1 m branch,TR118_1113_SH2,,0,0,0,0,0,0,0,223,0,0,0,0,121,,,,
116,11.14.2012,,TR11_,TR11_,sun,,,19.7-20.6 mm @ 1.25 m branch,TR11_1114_SU1,,0,0,0,29,333,0,0,756,0,0,0,0,5,,,,
117,11.14.2012,,TR11_,TR11_,sun,X,,others,TR11_1114_SU1,,0,0,0,24,132,0,0,330,0,0,0,0,1,,,,
118,11.14.2012,,TR11_,TR11_,sun,,,dropped leaves for TR_SU1_1114,TR11_1114_SU1,,0,0,0,11,13,0,0,4,0,0,0,0,1,,,,
119,11.14.2012,,TR11_,TR11_,sun,,,"Others, 12.3-12.4 @ 0.95 m Branch",TR11_1114_SU1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
120,11.14.2012,,TR11_,TR11_,sun,,,13.5-14.7 mm @ 1m branch ,TR11_SU2,,0,0,0,3,58,0,0,766,0,0,0,0,0,,,,
121,11.14.2012,,TR11_,TR11_,sun,X,,others,TR11_SU2,,0,0,0,0,9,0,0,205,0,0,0,0,1,,,,
122,11.14.2012,,TR11_,TR11_,sun,,,1 m  branch+ others=17.2-17.5 mm @ 1.2 m,TR11_SU2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
123,11.14.2012,,TR11_,TR11_,shade,,,11.8-12.2 mm@ 1m branch ,TR11_1114_SH2,,0,0,0,24,34,0,0,290,0,0,0,0,53,,,,
124,11.14.2012,,TR11_,TR11_,shade,X,,Others,TR11_1114_SH2,,0,0,0,8,3,0,0,128,0,0,0,0,47,,,,
125,11.14.2012,,TR11_,TR11_,shade,,,1m branch+others=14.8-15.1 m @1.2 m branch,TR11_1114_SH2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
126,11.14.2012,,TR11_,TR11_,shade,,,15.9 mm @ 1m branch,TR11_SH1,,0,0,0,78,187,0,0,424,0,0,0,0,51,,,,
127,11.14.2012,,TR500_,TR500_,sun,,,"36.5 m, 15.8-16.1 mm @ 1 m branch ",TR500_SU1,,0,0,0,0,0,0,0,58,0,0,0,0,24,,,,
128,11.14.2012,,TR500_,TR500_,sun,X,,others,TR500_SU1,,0,0,0,0,0,0,0,46,0,0,0,0,17,,,,
129,11.14.2012,,TR500_,TR500_,sun,,,1m branch+others=22.9-23.2mm/1.43m,TR500_SU1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
130,11.14.2012,,TR500_,TR500_,sun,,,17.5mm @ 1m branch,TR500_SU2,,0,0,0,0,0,0,0,97,0,0,0,0,32,,,,
131,11.14.2012,,TR500_,TR500_,sun,X,,others,TR500_SU2,,0,0,0,0,0,0,0,105,0,0,0,0,23,,,,
132,11.14.2012,,TR500_,TR500_,sun,,,1m branch+others =21.3 mm @ 1.2 m,TR500_SU2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
133,11.14.2012,,TR500_,TR500_,shade,,,14-14.2mm @ 1m branch,TR500_SH1,,0,0,0,0,0,0,0,41,0,0,0,0,25,,,,
134,11.14.2012,,TR500_,TR500_,shade,,,15 mm @ 1m branch,TR500_SH1,,0,0,0,0,0,0,0,52,0,0,0,0,24,,,,
135,11.14.2012,,TR500_,TR500_,shade,X,,Others,TR500_SH1,,0,0,0,0,0,0,0,20,0,0,0,0,3,,,,
136,11.14.2012,,TR500_,TR500_,shade,,,sub1+sub2+others=20.9 mm @ 1.1 m,TR500_SH1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
137,11.14.2012,,TR500_,TR500_,shade,,,1m branch: 10.5 mm,TR500_SH2,,0,0,0,0,0,0,0,20,0,0,0,0,10,,,,
138,11.14.2012,,TR500_,TR500_,shade,X,,Others,TR500_SH2,,0,0,0,0,0,0,0,51,0,0,0,0,24,,,,
139,11.14.2012,,TR500_,TR500_,shade,,,1m branch+others=13.7-14.5 mm @ 1.3 m,TR500_SH2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
140,11.15.2012,,TR14_,TR14_,sun,,,18.3-18.5 mm @ 1m branch,TR14_SU1,,0,0,0,0,0,0,0,141,0,0,0,0,0,,,,
141,11.15.2012,,TR14_,TR14_,sun,,,18.8 -20.5 mm @ 1m branch,TR14_SU2,,0,0,0,0,0,0,0,302,0,0,0,0,0,,,,
142,11.15.2012,,TR14_,TR14_,sun,,,1m branch+others=28.0-29.3 mm@ 1.25m,TR14_SU2,,0,0,0,0,0,0,0,375,0,0,0,0,0,,,,
143,11.15.2012,,TR14_,TR14_,shade,,,13.9-14.4 m @ 1m branch,TR14_SH2,,0,0,0,0,0,0,0,86,0,0,0,0,0,,,,
144,11.15.2012,,TR14_,TR14_,shade,X,,Others,TR14_SH2,,0,0,0,0,0,0,0,15,0,0,0,0,0,,,,
145,11.15.2012,,TR14_,TR14_,shade,X,,others+1 mbranch=15.1-15.6 mm,TR14_SH2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
146,11.15.2012,,TR14_,TR14_,shade,,,16.8 mm @ 1m branch,TR14_SH1,,0,0,0,0,0,0,0,122,0,0,0,0,0,,,,
147,11.15.2012,,TR504_,TR504_,sun,,,14.7-15.2 mm @ 1m branch',TR504_SU1,,0,0,0,43,0,0,0,773,0,0,0,0,6,,,,
148,11.15.2012,,TR504_,TR504_,sun,,,11.8 mm-11.4 mm @ 1m branch,TR504_SU1,,0,0,0,18,0,0,0,427,0,0,0,0,0,,,,
149,11.15.2012,,TR504_,TR504_,sun,X,,Others,TR504_SU1,,0,0,0,0,0,0,0,258,0,0,0,0,0,,,,
150,11.15.2012,,TR504_,TR504_,sun,,,sub2+others=15.2mm-14.5mm @ 1.1 m,TR504_SU1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
151,11.15.2012,,TR504_,TR504_,sun,,,sub1+sub2+other2=19.2-19.3mm @ 1.24 m,TR504_SU1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
152,11.15.2012,,TR504_,TR504_,sun,,,11.6-12.2 mm @ 1m branch,TR504_SU2,,0,0,0,11,0,0,0,1097,0,0,0,0,0,,,,
153,11.15.2012,,TR504_,TR504_,sun,,,7.1-7.4 mm @ 1m branch,TR504_SU2,,0,0,0,0,0,0,0,260,0,0,0,0,15,,,,
154,11.15.2012,,TR504_,TR504_,sun,X,,others,TR504_SU2,,0,0,0,12,0,0,0,784,0,0,0,0,0,,,,
155,11.15.2012,,TR504_,TR504_,sun,,,sub1+sub2+others: 16.2-16.4 mm @ 1.2 m,TR504_SU2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
156,11.15.2012,,TR504_,TR504_,shade,,,7.1 mm @ 1m branch,TR504_SH2,,0,0,0,101,0,0,0,155,0,0,0,0,28,,,,
157,11.15.2012,,TR504_,TR504_,shade,,,"18.2 m, 6.2 mm @ 1m branch",TR504_SH1,,0,0,0,100,0,0,0,22,0,0,0,0,0,,,,
158,11.15.2012,,TR504_,TR504_,shade,,,9.6 mm @ 1m branch,TR504_SH3,,0,0,0,0,0,0,0,346,0,0,0,0,65,,,,
159,11.19.2012,,TR117_,TR117_,hi,,,10.9-11.5mm @ 1m branch,TR117_1119_HI,,5,5,15,0,16,131,67,0,0,0,0,0,58,,,,
160,11.19.2012,,TR118_,TR118_,lo,,,"for ASD, 16.8-17.3 mm @ 1m branch",TR118_1119_SH,,0,0,0,0,48,0,0,171,0,0,0,0,58,,,,
161,11.19.2012,,TR118_,TR118_,sun,,,"for ASD, DBH 19.8-20.2 mm @ 1m branch",TR118_1119_SU,,0,0,0,0,8,0,0,274,0,0,0,0,30,,,,
162,11.19.2012,,TR118_,TR118_,sun,,,19.4-19.8 mm @ 1m branch,TR118_SU1_1119,,0,0,0,0,1,0,0,540,0,0,0,0,218,,,,
163,11.19.2012,,TR117_,TR117_,lo,,,9.4-10.1 mm @ 1m branch,TR117_1119_LO_sub1,,0,0,1,0,4,39,45,0,0,0,0,0,33,,,,
164,11.19.2012,,TR117_,TR117_,lo,,,10.4-10.8mm @ 1m branch,TR117_1119_LO_sub2,,0,0,0,0,0,18,41,0,0,0,0,0,39,,,,
