,Order,Date,,,Date,,Transect,UniqueID,tag..,Sun.Shade,Excluded.QC,Excluded.Branch.Length,QC.temp,Diam.Length,Diam@1m,Branch..,Branch.Diameter,Y1.Y2,Y2,Y3,Y,YM,M1,M2,M,M3,M.O,O1,O2,O,Notes,R.dates,L.sum,Y.sum,M.sum,O.sum,Y.prop,M.prop,O.prop,QC.check,Sum.Total,Date2,DOY,Time group,BranchArea,Leaves/DiamArea
216,216,12,4,2012,12/4/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,Sub 3 (11-11.4 mm @ 0.9 m branch),11.2,TR11_SU1,NA,0,0,0,0,0,0,0,228,0,0,0,0,0,NA,12/4/12,228,0,228,0,0,1,0,1,456,12/4/12,339,3,98.5202624,4.628489499
217,217,12,4,2012,12/4/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,Sub 4 (8.4-8.5 mm @ 0.9 m Branch),8.45,TR11_SU1,NA,0,0,0,0,0,0,0,201,0,0,0,0,0,NA,12/4/12,201,0,201,0,0,1,0,1,402,12/4/12,339,3,56.07934499,7.168414682
220,220,12,4,2012,12/4/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,Sub 1 (14.5-14.6 mm @ 1m branch),14.55,TR11_Su2_1204,NA,0,0,0,0,0,0,0,671,0,0,0,0,33,NA,12/4/12,704,0,671,33,0,0.953125,0.046875,1,1375,12/4/12,339,3,166.2706142,8.269651293
221,221,12,4,2012,12/4/12,2012,NA,TR11_,TR11_,sun,X,NA,NA,Sub 2 (12.2-13.1 mm @ 1m Branch),12.65,TR11_Su2_1204,NA,0,0,0,0,0,0,0,303,0,0,0,0,122,NA,12/4/12,425,0,303,122,0,0.712941176,0.287058824,1,728,12/4/12,339,3,125.6812714,5.792430261
224,224,12,4,2012,12/4/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,Sub 1 (12.8-13.2 mm @ 1m branch),13,TR11_SH1_1204,NA,0,0,0,0,0,0,0,451,0,0,0,0,36,NA,12/4/12,487,0,451,36,0,0.926078029,0.073921971,1,938,12/4/12,339,3,132.7321775,7.06686214
322,322,11,13,2012,11/13/13,2013,NA,TR11_,TR11_,sun,NA,NA,X,"11.72, 12.15",11.935,TR11_11.13.2013_SU3.1,NA,0,0,0,0,39,0,0,482,0,0,0,0,30,NA,11/13/13,551,0,521,30,0,0.945553539,0.054446461,1,1072,11/13/13,317,2,111.8753382,9.582093938
323,323,11,13,2012,11/13/13,2013,NA,TR11_,TR11_,sun,NA,NA,X,"14.11, 14.70",14.405,TR11_11.13.2013_SU3.2,NA,0,0,0,0,17,0,0,538,0,0,0,0,54,NA,11/13/13,609,0,555,54,0,0.911330049,0.088669951,1,1164,11/13/13,317,2,162.9731425,7.142281129
324,324,11,13,2012,11/13/13,2013,NA,TR11_,TR11_,sun,NA,NA,X,NA,,TR11_11.13.2013_SU3.3,NA,0,0,0,0,60,0,0,262,0,0,0,0,80,NA,11/13/13,402,0,322,80,0,0.800995025,0.199004975,1,724,11/13/13,317,2,,
325,325,11,13,2012,11/13/13,2013,NA,TR11_,TR11_,sun,NA,NA,X,NA,,TR11_11.13.2013_SU3.4,NA,0,0,0,0,23,0,0,156,0,0,0,0,49,NA,11/13/13,228,0,179,49,0,0.785087719,0.214912281,1,407,11/13/13,317,2,,
326,326,11,13,2012,11/13/13,2013,NA,TR11_,TR11_,sun,NA,NA,X,NA,,TR11_11.13.2013_SU3.5,NA,0,0,0,0,18,0,0,215,0,0,0,0,66,NA,11/13/13,299,0,233,66,0,0.779264214,0.220735786,1,532,11/13/13,317,2,,
327,327,11,13,2012,11/13/13,2013,NA,TR11_,TR11_,sun,NA,NA,X,NA,,TR11_11.13.2013_SU3.6,NA,0,0,0,0,22,0,0,99,0,0,0,0,28,NA,11/13/13,149,0,121,28,0,0.812080537,0.187919463,1,270,11/13/13,317,2,,
383,383,3,30,2012,3/30/14,2014,NA,TR11_,TR11_,sun,NA,NA,NA,"20.92, 21.24",21.08,TR11_SU,NA,0,0,0,59,0,0,0,1549,0,0,0,44,268,NA,3/30/14,1920,59,1549,312,0.030729167,0.806770833,0.1625,1,3528,3/30/14,89,4,349.0042596,10.10875914
383,383,3,30,2012,3/30/14,2014,NA,TR11_,TR11_,sun,NA,NA,NA,"20.92, 21.24",21.08,TR11_SU,NA,0,0,0,59,0,0,0,1549,0,0,0,44,268,NA,3/30/14,1920,59,1549,312,0.030729167,0.806770833,0.1625,1,3528,3/30/14,454,4,349.0042596,10.10875914
